Strategy,Year,Fuel,SpecifiedAnnualDemand
NDP,2023,Mangroves primary forest,0.0337
NDP,2024,Mangroves primary forest,0.0336
NDP,2025,Mangroves primary forest,0.0335
NDP,2026,Mangroves primary forest,0.0335
NDP,2027,Mangroves primary forest,0.0334
NDP,2028,Mangroves primary forest,0.0334
NDP,2029,Mangroves primary forest,0.0333
NDP,2030,Mangroves primary forest,0.0333
NDP,2031,Mangroves primary forest,0.0333
NDP,2032,Mangroves primary forest,0.0332
NDP,2033,Mangroves primary forest,0.0332
NDP,2034,Mangroves primary forest,0.0332
NDP,2035,Mangroves primary forest,0.0332
NDP,2036,Mangroves primary forest,0.0332
NDP,2037,Mangroves primary forest,0.0332
NDP,2038,Mangroves primary forest,0.0332
NDP,2039,Mangroves primary forest,0.0332
NDP,2040,Mangroves primary forest,0.0332
NDP,2041,Mangroves primary forest,0.0332
NDP,2042,Mangroves primary forest,0.0332
NDP,2043,Mangroves primary forest,0.0332
NDP,2044,Mangroves primary forest,0.0332
NDP,2045,Mangroves primary forest,0.0332
NDP,2046,Mangroves primary forest,0.0332
NDP,2047,Mangroves primary forest,0.0332
NDP,2048,Mangroves primary forest,0.0332
NDP,2049,Mangroves primary forest,0.0332
NDP,2050,Mangroves primary forest,0.0332
